birthYear, deathYear 
1936, 2008
1925, 1985
1926, 2004
1929, 1989
1948, 2013
1930, 2010
1923, 2000
1948, 2012
1951, 2015
1768, 1835
1802, 1874
1767, 1834
1925, 2014
1976, 2009
1926, 1999
1905, 1985
1927, 2011
1871, 1913
1845, 1907
1887, 1950
1907, 1995
1888, 1982
1913, 1980
1809, 1878
1957, 2008
1975, 2008
1832, 1918
1815, 1896
1893, 1962
1913, 1992
1890, 1975
1908, 1971
1705, 1777
1706, 1784
1626, 1698
1788, 1862
1928, 2013
1584, 1656
1574, 1627
1474, 1530
1959, 1995
1762, 1793
1955, 1980
1895, 1957
1957, 2012
1900, 1972
1936, 1991
1946, 2003
1929, 1991
1895, 1949
1932, 2007
1944, 2011
1949, 1991
1927, 2009
1873, 1960
1906, 1974
1866, 1925
1921, 2011
1894, 1980
1911, 1988
1869, 1943
1934, 2001
1913, 2002
1877, 1951
1898, 1992
1955, 1985
1983, 2009
1913, 1961
1965, 2009
1902, 1966
1944, 2002
1967, 2000
1900, 1962
1932, 1999
1932, 2003
1936, 2011
1914, 1975
1978, 2014
1927, 2013
1913, 1982
1909, 1987
1716, 1798
1855, 1905
1908, 1979
1926, 1994
1939, 2015
1825, 1875
1900, 1970
1937, 1991
1883, 1974
1940, 2014
1745, 1789
1945, 1984
1811, 1891
1762, 1842
1820, 1903
1944, 2010
1889, 1960
1808, 1880
1922, 2014
1874, 1920
1913, 1999
1909, 2000
1944, 1996
1851, 1914
1766, 1813
1737, 1824
1912, 1997
1744, 1824
1908, 2000
1906, 2007
1945, 1977
1926, 2009
1585, 1629
1836, 1918
1924, 2006
1926, 2000
1863, 1935
1920, 1992
1980, 2001
1914, 1958
1896, 1964
1913, 1983
1917, 2009
1949, 1996
1893, 1963
1904, 2006
1927, 2012
1963, 2010
1928, 2000
1742, 1834
1964, 1998
1867, 1945
1702, 1781
1814, 1866
1907, 1982
1590, 1621
1742, 1811
1930, 2002
1856, 1935
1848, 1937
1884, 1960
1850, 1907
1803, 1869
1851, 1872
1911, 1987
1850, 1924
1911, 1994
1922, 2008
1929, 2009
1894, 1979
1577, 1630
1815, 1871
1757, 1828
1560, 1629
1870, 1950
1509, 1569
1883, 1952
1856, 1946
1730, 1802
1903, 1977
1717, 1785
1654, 1738
1876, 1955
1894, 1980
1818, 1871
1908, 1995
1692, 1761
1842, 1924
1831, 1886
1914, 1989
1905, 1993
1951, 2007
1880, 1958
1834, 1899
1900, 1978
1846, 1903
1886, 1975
1939, 1984
1911, 1987
1926, 2007
1916, 1998
1916, 2005
1925, 2013
1900, 1973
1828, 1912
1922, 2011
1878, 1950
1886, 1957
1872, 1937
1902, 1962
1944, 1969
1917, 2014
1913, 1987
1898, 1957
1910, 2005
1878, 1937
1868, 1943
1935, 2009
1922, 1997
1821, 1897
1851, 1934
1908, 1987
1927, 2009
0007, 1955
1908, 1983
1888, 1969
1902, 1978
1897, 1945
1915, 1999
1892, 1958
1902, 1972
1910, 1963
1895, 1964
1960, 2009
1904, 1975
1922, 2002
1845, 1875
1890, 1968
1851, 1938
1809, 1882
1934, 1993
1968, 2007
1890, 1922
1942, 2009
1913, 1995
1942, 2014
1922, 1964
1582, 1657
1864, 1945
1853, 1913
1816, 1890
1728, 1797
1812, 1887
1966, 2002
1950, 2010
1906, 1937
1898, 1956
1950, 2011
1903, 1998
1949, 2013
1965, 2004
1929, 1982
1974, 2009
1885, 1958
1952, 2011
1960, 1988
1901, 1994
1959, 2006
1820, 1849
1875, 1961
1826, 1891
1912, 1973
1895, 1970
1824, 1893
1910, 1972
1900, 1985
1885, 1953
1882, 1958
1833, 1896
1941, 2007
1908, 1993
1871, 1928
1901, 1971
1910, 1972
1877, 1955
1938, 1997
1771, 1834
1885, 1946
1801, 1830
1823, 1860
1741, 1819
1867, 1940
1927, 1999
1940, 2004
1927, 1982
1769, 1827
1860, 1924
1932, 2007
1874, 1933
1867, 1944
1907, 1983
1941, 2008
1907, 1998
1920, 1992
1919, 1960
1930, 2006
1904, 1993
1870, 1942
1917, 1973
1912, 1971
1863, 1950
1885, 1966
1931, 2011
1837, 1876
1834, 1888
1842, 1907
1920, 2009
1871, 1944
1914, 1997
1924, 2013
1930, 2014
1815, 1893
1837, 1913
1863, 1907
1905, 1979
1896, 1962
1925, 2001
1890, 1964
1871, 1914
1910, 1992
1865, 1944
1891, 1982
1936, 1989
1879, 1951
1900, 1954
1859, 1937
1905, 1995
1887, 1979
1850, 1920
1937, 1992
1939, 2006
1931, 1994
1929, 2001
1904, 1981
1867, 1935
1919, 2007
1919, 2006
1908, 2008
1840, 1913
1892, 1997
1911, 1972
1908, 2004
1864, 1943
1959, 2009
1970, 2010
1937, 1996
1961, 1986
1932, 2000
1909, 1987
1944, 2015
1902, 1973
1935, 1987
1915, 1988
1927, 2003
1969, 2009
1936, 2009
1955, 2000
1949, 1995
1888, 1970
1898, 1943
1898, 1986
1842, 1932
1840, 1908
1788, 1866
1914, 1995
1915, 2007
1842, 1907
1884, 1947
1905, 1959
1924, 2012
1908, 1978
1911, 1987
1912, 2003
1911, 1950
1916, 2000
1937, 1989
1925, 1992
1925, 1998
1908, 2004
1980, 1980
1855, 1928
1942, 1985
1920, 2005
1570, 1634
1897, 1979
1923, 2001
1861, 1941
1913, 2010
1922, 1974
1936, 1996
1916, 1981
1937, 2011
1925, 1999
1752, 1825
1919, 2006
1842, 1925
1864, 1935
1798, 1837
1591, 1650
1957, 2009
1869, 1944
1893, 1980
1833, 1926
1976, 2002
1964, 2010
1804, 1879
1938, 1999
1836, 1922
1662, 1705
1953, 2006
1955, 2014
1917, 1983
1916, 1973
1883, 1961
1899, 1990
1918, 1998
1928, 1974
1918, 1991
1918, 1976
1921, 2010
1930, 2001
1896, 1969
1939, 1980
1906, 1981
1914, 1975
1859, 1938
1727, 1789
1910, 1977
1876, 1962
1970, 1996
1958, 2011
1906, 1983
1899, 1974
1911, 2000
1889, 1965
1882, 1965
1881, 1955
1938, 2005
1921, 1983
1946, 1984
1670, 1725
1922, 2013
1919, 1999
1855, 1933
1873, 1950
1886, 1931
1878, 1964
1884, 1956
1905, 1961
1902, 1953
1886, 1930
1904, 1993
1907, 1987
1923, 1977
1911, 1993
1942, 2006
1934, 1993
1913, 2004
1889, 1986
1941, 2015
1920, 2010
1937, 2006
1902, 1975
1912, 1990
1899, 1991
1923, 2014
1883, 1943
1830, 1913
1846, 1910
1944, 2014
1876, 1928
1866, 1920
1900, 1981
1882, 1929
1881, 1956
1905, 1969
1927, 1983
1906, 1989
1870, 1928
1940, 1998
1925, 1972
1894, 1969
1945, 2014
1866, 1941
1843, 1925
1821, 1896
1957, 1989
1912, 2004
1904, 1986
1922, 1987
1917, 2009
1870, 1950
1905, 1940
1909, 1964
1881, 1906
1916, 2003
1919, 2008
1943, 2008
1915, 2010
1918, 2000
1878, 1952
1940, 2009
1877, 1929
1922, 1960
1923, 2002
1909, 1970
1899, 1961
1922, 1963
1867, 1942
1900, 1979
1927, 1999
1937, 2011
1890, 1965
1923, 2008
1544, 1590
1918, 2006
1927, 1998
1930, 2008
1917, 2004
1803, 1856
1901, 1978
1570, 1623
1950, 2000
1466, 1532
1800, 1876
1922, 2014
1885, 1944
1927, 1998
1874, 1944
1947, 2010
1942, 2012
1964, 2015
1923, 1975
1895, 1976
1895, 1966
1877, 1949
1821, 1873
1790, 1854
1645, 1700
1862, 1928
1860, 1930
1796, 1869
1864, 1946
1799, 1879
1808, 1884
1796, 1859
1883, 1915
1892, 1942
1940, 2014
1904, 1993
1861, 1926
1929, 2006
1880, 1960
1947, 2015
1942, 1986
1569, 1620
1895, 1938
1926, 2016
1990, 2012
1913, 1993
1929, 1988
1899, 1972
1917, 1959
1903, 1998
1938, 2009
1912, 1972
1944, 1990
1877, 1958
1925, 2006
1969, 2012
1990, 2015
1973, 2010
1921, 2003
1930, 1997
1977, 2007
1895, 1965
1923, 2013
1951, 2014
1836, 1901
1931, 1974
1765, 1820
1924, 1994
1910, 1970
1907, 2000
1887, 1984
1905, 1972
1913, 2000
1893, 1950
1921, 1993
1899, 1966
1859, 1919
1905, 1948
1888, 1938
1910, 1963
1939, 2009
1910, 1964
1885, 1956
1864, 1939
1816, 1896
1812, 1880
1890, 1950
1915, 1997
1878, 1958
1620, 1701
1559, 1625
1634, 1666
1890, 1978
1928, 1963
1942, 2003
1913, 1993
1906, 1995
1861, 1937
1762, 1787
1872, 1961
1869, 1950
1970, 2006
1935, 2013
1819, 1853
1832, 1900
1876, 1967
1825, 1892
1873, 1950
1843, 1914
1913, 1977
1851, 1929
1916, 2000
1871, 1916
1952, 2000
1520, 1598
1580, 1640
1828, 1898
1921, 2006
1946, 2011
1835, 1912
1907, 1976
1930, 2008
1909, 1997
1932, 1973
1739, 1818
1858, 1931
1863, 1932
1913, 1998
1884, 1941
1898, 1938
1927, 1993
1929, 2013
1892, 1976
1923, 2006
1885, 1950
1924, 1973
1913, 1998
1886, 1956
1864, 1945
1934, 1979
1946, 1999
1919, 1959
1932, 2015
1938, 2007
1928, 2014
1888, 1949
1936, 2006
1923, 1989
1932, 1989
1911, 1989
1904, 1981
1913, 2008
1928, 2013
1915, 1988
1923, 2014
