birthYear, deathYear 
1915, 1981
1887, 1924
1914, 1964
1909, 1952
1909, 1990
1932, 1995
1924, 2012
1903, 1975
1936, 2010
1927, 1973
1939, 2015
1903, 1982
1928, 1997
1952, 1982
1962, 2008
1938, 2012
1956, 2013
1926, 2012
1930, 2010
1909, 1984
1963, 1993
1928, 1990
1936, 1963
1913, 1988
1948, 1989
1963, 2010
1931, 2009
1940, 2009
1914, 1999
1939, 1976
1916, 1985
1939, 1993
1930, 2012
1939, 2010
1935, 2004
1946, 2013
1931, 1996
1922, 1994
1929, 1965
1920, 1964
1930, 2004
1925, 1990
1943, 2015
1931, 2009
1941, 2010
1954, 1998
1937, 1996
1936, 2014
1929, 2009
1933, 2005
1934, 2008
1901, 1970
1914, 2005
1903, 1972
1936, 1995
1933, 2013
1964, 2013
1955, 2012
1921, 1994
1892, 1946
1919, 1994
1929, 2009
1934, 1978
1925, 1991
1969, 1999
1867, 1929
1912, 1973
1932, 1994
1858, 1913
1910, 1993
1931, 2010
1910, 1994
1900, 1971
1909, 1988
1899, 1980
1935, 2012
1910, 1991
1927, 1992
1876, 1946
1930, 1982
1953, 2011
1935, 2015
1911, 2000
1897, 1981
1903, 1954
1883, 1955
1966, 2014
1939, 1994
1941, 1997
1979, 2014
1938, 2000
1986, 2010
1929, 2007
1931, 2001
1989, 2016
1940, 1991
1963, 2009
1944, 1986
1947, 2005
1966, 2009
1985, 2009
1934, 0028
1887, 1959
1932, 2001
1856, 1932
1895, 1984
1897, 1958
1924, 2014
1873, 1948
1894, 1949
1905, 1983
1895, 1984
1903, 1965
1871, 1947
1894, 1981
1907, 1963
1899, 1999
1900, 1955
1901, 1961
1887, 1979
1891, 1928
1917, 1985
1909, 1995
1915, 2002
1906, 1968
1886, 1968
1876, 1927
1874, 1964
1934, 2006
1906, 1986
1876, 1908
1938, 1983
1915, 1994
1908, 1980
1922, 2011
1901, 1981
1914, 1951
1947, 2007
1910, 1973
1893, 1963
1912, 1990
1919, 1999
1912, 1964
1889, 1973
1888, 1981
1921, 1996
1887, 1918
1933, 2013
1894, 1945
1909, 1999
1922, 1992
1931, 2006
1941, 2014
1906, 1938
1802, 1877
1915, 1981
1931, 2002
1932, 2011
1909, 1942
1909, 1999
1915, 1956
1930, 1958
1945, 2008
1985, 2015
1930, 2010
1880, 1963
1928, 2004
1890, 1967
1942, 2003
1893, 1946
1889, 1963
1907, 1986
1977, 2013
1884, 1961
1921, 2006
1926, 1996
1922, 2013
1938, 2008
1911, 1990
1912, 1991
1915, 1995
1910, 1981
1948, 2010
1898, 1989
1938, 2011
1908, 1992
1911, 1966
1906, 1985
1903, 1983
1924, 1992
1906, 1966
1921, 1966
1874, 1916
1870, 1942
1892, 1987
1910, 1973
1881, 1958
1894, 1965
1893, 1979
1894, 1918
1917, 2009
1892, 1978
1915, 1995
1919, 2002
1931, 2002
1920, 1999
1932, 2006
1960, 2009
1935, 2012
1994, 0011
1879, 1947
1925, 2014
1890, 1963
1972, 2000
1890, 1961
1914, 1973
1919, 1989
1873, 1936
1918, 2006
1882, 1959
1908, 1978
1905, 1982
1912, 2003
1897, 1952
1927, 1975
1888, 1971
1864, 1948
1937, 1999
1911, 1981
1876, 1944
1877, 1935
1908, 1974
1924, 2009
1905, 1999
1882, 1956
1870, 1939
1875, 1958
1896, 1958
1929, 1992
1912, 2006
1895, 1969
1979, 2013
1952, 2010
1868, 1958
1886, 1940
1880, 1909
1855, 1947
1896, 1953
1971, 2014
1880, 1963
1867, 1954
1915, 2000
1880, 1970
1875, 1950
1914, 1987
1897, 1944
1894, 1972
1900, 1988
1969, 2010
1929, 2001
1920, 1982
1876, 1936
1907, 1979
1891, 1972
1903, 1943
1912, 1980
1904, 1976
1899, 1983
1848, 1920
1948, 2013
1881, 1950
1964, 2013
1936, 2013
1912, 1997
1898, 1974
1954, 2015
1925, 1991
1916, 1988
1986, 2007
1853, 1925
1958, 2009
1913, 1987
1905, 1977
1913, 1998
1907, 1995
1897, 1966
1981, 2011
1931, 2000
1887, 1949
1933, 2005
1912, 2003
1949, 1994
1912, 1960
1940, 2010
1907, 1986
1926, 2015
1943, 2014
1911, 1940
1948, 2008
1915, 1965
1914, 1972
1975, 2012
1908, 1984
1924, 1992
1928, 2014
1876, 1905
1909, 1963
1892, 1975
1923, 1991
1908, 1963
1967, 2008
1907, 1986
1928, 1996
1884, 1949
1880, 1950
1944, 2015
1882, 1967
1927, 1996
1930, 2005
1885, 1970
1946, 2003
1913, 1970
1932, 2003
1897, 1988
1943, 2006
1919, 2013
1902, 1974
1899, 1969
1917, 1986
1909, 1989
1889, 1968
1979, 2011
1980, 2013
1885, 1963
1924, 1981
1930, 1995
1890, 1917
1924, 2005
1961, 2014
1891, 1943
1906, 1988
1923, 2002
1909, 1997
1878, 1952
1889, 1955
1907, 1907
1893, 1934
1893, 1962
1892, 1967
1907, 1972
