birthYear, deathYear 
1936, 2008
1925, 1985
1926, 2004
['1895', '1890'], ['1936', '1972']
1934, 2006
1929, 1989
1948, 2013
1930, 2010
1923, 2000
1948, 2012
1951, 2015
1744, 1825
1867, 1920
1768, 1835
1802, 1874
1767, 1834
1925, 2014
1976, 2009
1926, 1999
1905, 1985
1927, 2011
1871, 1913
1845, 1907
1887, 1950
1926, 1998
1907, 1995
1913, 2003
1888, 1982
1913, 1980
1809, 1878
1957, 2008
1975, 2008
1832, 1918
1815, 1896
1893, 1962
1913, 1992
1890, 1975
1908, 1971
1721, 1760
1705, 1777
1706, 1784
1626, 1698
1788, 1862
1928, 2013
1696, 1757
1670, 1699
1584, 1656
1590, 1635
1597, 1662
1574, 1627
1796, 1853
1846, 1925
1649, 1724
1930, 2005
1801, 1880
1474, 1530
1959, 1995
1762, 1793
1955, 1980
1895, 1957
1957, 2012
1900, 1972
1936, 1991
1946, 2003
1929, 1991
1867, 1931
1930, 2006
1906, 1992
1895, 1949
1926, 1981
1902, 1992
1951, 1990
1932, 2007
1944, 2011
1949, 1991
1921, 2007
1710, 1762
1927, 2009
1912, 1990
1873, 1960
1652, 1730
1906, 1974
1866, 1925
1921, 2011
1905, 1983
1894, 1980
1929, 1968
1911, 1988
1869, 1943
1924, 2014
1934, 2001
1935, 1982
1942, 2015
1851, 1926
1752, 1844
1913, 2002
1877, 1951
1610, 1680
1942, 2006
1898, 1992
1955, 1985
1983, 2009
1913, 1961
1965, 2009
1902, 1966
1944, 2002
1967, 2000
1900, 1962
1932, 1999
1932, 2003
1936, 2011
1914, 1975
1921, 1994
['1929', '1977'], 1998
1978, 2014
1927, 2013
1636, 1694
1913, 1982
1909, 1987
1716, 1798
1821, 1873
1855, 1905
1760, 1814
1662, 1708
1908, 1979
1926, 1994
1939, 2015
1825, 1875
1914, 2003
1900, 1970
1930, 2011
1937, 1991
1883, 1974
1940, 2014
1946, 2012
1745, 1789
1945, 1984
1811, 1891
1937, 2010
1762, 1842
1820, 1903
1944, 2010
1889, 1960
1808, 1880
1922, 2014
1874, 1920
1913, 1999
1909, 2000
1944, 1996
1851, 1914
1766, 1813
1911, 1995
1737, 1824
1912, 1997
1744, 1824
1908, 2000
1906, 2007
1945, 1977
1926, 2009
1585, 1629
1836, 1918
1924, 2006
1926, 2000
1863, 1935
1920, 1992
1980, 2001
1914, 1958
1794, 1868
1896, 1964
1913, 1983
1619, 1675
1917, 2009
1949, 1996
1891, 1963
1893, 1963
1904, 2006
1927, 2012
1963, 2010
1931, 2012
1915, 1983
1928, 2000
1683, 1747
1755, 1799
1742, 1834
1964, 1998
1867, 1945
1586, 1643
1702, 1781
1875, 1944
1814, 1866
1907, 1982
1729, 1777
1590, 1621
1742, 1811
1930, 2002
1546, 1597
1861, 1915
1856, 1935
1845, 1926
1878, 1960
1896, 1976
1829, 1894
1848, 1937
1907, 1973
1756, 1822
1884, 1960
1850, 1907
1803, 1869
1741, 1781
1884, 1964
1851, 1872
1907, 1973
1911, 1987
1640, 1720
1850, 1924
1820, 1888
1932, 1998
1911, 1994
1795, 1871
1757, 1821
1922, 2008
1929, 2009
1894, 1979
1577, 1630
1815, 1871
1828, 1896
1757, 1828
1772, 1807
1560, 1629
1870, 1950
1509, 1569
1883, 1952
1856, 1946
1730, 1802
1903, 1977
1595, 1679
1717, 1785
1654, 1738
1876, 1955
1902, 1952
1894, 1980
1818, 1871
1908, 1995
1692, 1761
1705, 1775
1842, 1924
1901, 1975
1831, 1886
1914, 1964
1914, 1989
1879, 1933
1905, 1993
1951, 2007
1880, 1958
1834, 1899
1900, 1978
1846, 1903
1886, 1975
1939, 1984
1869, 1935
1911, 1987
1926, 2007
1916, 1998
1808, 1869
1920, 2001
1916, 2005
1899, 1938
1925, 2013
1915, 1998
1900, 1973
1828, 1912
1846, 1936
1922, 2011
1878, 1950
1886, 1957
1872, 1937
1878, 1942
1902, 1962
1888, 1953
1944, 1969
1917, 2014
1913, 1987
1898, 1957
1910, 2005
1906, 1972
1882, 1960
1878, 1937
1898, 1975
1868, 1943
1935, 2009
1922, 1997
1821, 1897
1851, 1934
1908, 1987
1915, 1981
1927, 2009
0007, 1955
1908, 1983
1919, 1978
1621, 1668
1888, 1969
1902, 1978
1897, 1945
1928, 1994
1915, 1999
1892, 1958
1902, 1972
1910, 1963
1895, 1964
1960, 2009
1904, 1975
1927, 2001
1922, 2002
1803, 1858
1845, 1875
1890, 1968
1851, 1938
1809, 1882
1934, 1993
1834, 1895
1968, 2007
1859, 1931
1890, 1922
1942, 2009
1913, 1995
1942, 2014
1922, 1964
1906, 1995
1582, 1657
1801, 1857
1605, 1670
1864, 1945
1639, 1703
1550, 1633
1853, 1913
1757, 1841
1816, 1890
1728, 1797
1812, 1887
1966, 2002
1950, 2010
1906, 1937
1898, 1956
1950, 2011
1903, 1998
1870, 1929
1949, 2013
1965, 2004
1929, 1982
1974, 2009
1885, 1958
1846, 1924
1952, 2011
1960, 1988
1901, 1994
1856, 1926
1959, 2006
1801, 1848
1820, 1849
1875, 1961
1894, 1968
1826, 1891
1859, 1920
1912, 1973
1765, 1845
1883, 1951
1895, 1970
1824, 1893
1944, 2004
1910, 1972
1900, 1985
1679, 1735
1885, 1953
1882, 1958
1922, 2003
1833, 1896
1941, 2007
1908, 1993
1890, 1944
1871, 1928
1901, 1971
1906, 1971
1783, 1824
1910, 1972
1543, 1581
1899, 1958
1904, 1990
1895, 1980
1865, 1935
1834, 1914
1877, 1955
1938, 1997
1860, 1930
1771, 1834
1885, 1946
1801, 1830
1812, 1898
1883, 1968
1823, 1860
1864, 1892
1741, 1819
1890, 1942
1867, 1940
1927, 1999
1914, 1994
1940, 2004
1927, 1982
1769, 1827
1860, 1924
1858, 1918
1838, 1873
1932, 2007
1874, 1933
1882, 1972
1867, 1944
1907, 1983
1941, 2008
1907, 1998
1920, 1992
1919, 1960
1872, 1925
1930, 2006
1904, 1993
1870, 1942
1917, 1973
1912, 1971
1854, 1888
1863, 1950
1885, 1966
1901, 1983
1931, 2011
1865, 1942
1837, 1876
1834, 1888
1842, 1907
1920, 2009
1901, 1969
1868, 1939
1820, 1867
1895, 1961
1871, 1944
1900, 1970
1914, 1997
1924, 2013
1930, 2014
1815, 1893
1837, 1913
1863, 1907
1884, 1969
1905, 1979
1902, 1975
1868, 1937
1861, 1913
1906, 1978
1896, 1962
1863, 1940
1925, 2001
1890, 1964
1871, 1914
1910, 1992
1865, 1944
1850, 1907
1891, 1982
1936, 2005
1936, 1989
1879, 1951
1900, 1954
1859, 1937
1886, 1966
1905, 1995
1887, 1979
1850, 1920
1937, 1992
1939, 2006
1931, 1994
1929, 2001
1904, 1981
1867, 1935
1919, 2007
1919, 2006
1908, 2008
1840, 1913
1892, 1997
1911, 1972
1908, 2004
1864, 1943
['1868', '1864'], 1958
1959, 2009
1872, 1936
1970, 2010
1937, 1996
1961, 1986
1932, 2000
1909, 1987
1944, 2015
1902, 1973
1935, 1987
1915, 1988
1927, 2003
1922, 1999
1969, 2009
1936, 2009
1955, 2000
1847, 1927
1949, 1995
1924, 2010
1888, 1970
1898, 1943
1898, 1986
1961, 1996
1842, 1932
1840, 1908
1896, 1976
1887, 1977
1822, 1890
1890, 1970
1915, 2008
1815, 1849
1891, 1964
1880, 1964
1788, 1866
1914, 1995
1915, 2007
1842, 1907
1884, 1947
1905, 1959
1924, 2012
1908, 1978
1911, 1987
1912, 2003
1911, 1950
1916, 2000
1937, 1989
1925, 1992
1925, 1998
1908, 2004
1980, 1980
1855, 1928
1942, 1985
1871, 1932
1920, 2005
1570, 1634
1897, 1979
1923, 2001
1861, 1941
1913, 2010
1922, 1974
1936, 1996
1916, 1981
1937, 2011
1925, 1999
1752, 1825
1919, 2006
1550, 1603
1842, 1925
1838, 1903
1864, 1935
1798, 1837
1591, 1650
1794, 1855
1957, 2009
1869, 1944
1650, 1715
1565, 1621
1893, 1980
1470, 1530
1833, 1926
1752, 1820
1694, 1730
1976, 2002
1878, 1955
1775, 1841
1897, 1918
1707, 1769
1964, 2010
1884, 1966
1804, 1879
1938, 1999
1836, 1922
1662, 1705
1953, 2006
1955, 2014
1917, 1983
1916, 1973
1873, 1963
1883, 1961
1899, 1990
1918, 1998
1896, 1959
1928, 1974
1918, 1991
1911, 2004
1918, 1976
1921, 2010
1925, 1997
1822, 1898
1930, 2001
1896, 1969
['2012', '1914'], 1967
1939, 1980
1906, 1981
1914, 1975
1934, 2006
1859, 1938
1727, 1789
1910, 1977
1814, 1892
1876, 1962
1970, 1996
1958, 2011
1898, 1972
1906, 1983
1899, 1974
1911, 2000
1889, 1965
1884, 1959
1879, 1950
1881, 1951
1920, 1986
1889, 1960
1816, 1893
1882, 1965
1881, 1955
1874, 1962
1938, 2005
1921, 1983
1946, 1984
1670, 1725
['1510', '1505'], 1558
1922, 2013
1919, 1999
1911, 1993
1849, 1904
1855, 1933
1859, 1953
1873, 1950
1886, 1931
1869, 1940
1916, 1983
1500, 1554
1878, 1964
1886, 1944
1884, 1956
1905, 1961
1902, 1953
1886, 1930
1904, 1993
1907, 1987
1956, 2010
1923, 1977
1911, 1993
1942, 2006
1934, 1993
1913, 2004
1889, 1986
