birthYear, deathYear, genre 
1944,1999,Reggae
1944,1999,Dancehall
1953,2010,Alternative rock
1935,2012,Jazz
1956,2006,New wave music
1956,2006,Art rock
1956,2006,Progressive rock
1956,2006,Synthpop
1909,2000,Classic female blues
1909,2000,Jazz
1891,1967,Music of Argentina
1891,1967,Argentine tango
1927,2001,Traditional pop music
1927,2001,Swing music
1927,2001,Jump blues
1927,2001,Vocal music
1927,2001,Vocal jazz
1957,1996,Folk music
1957,1996,Bard (Soviet Union)
1957,1996,Music in the Chechen Republic
1928,1999,Folk music
1928,1999,Music of Pakistan
1849,1919,Hindustani classical music
1849,1919,Rampur-Sahaswan gharana
1932,2009,Duet
1932,2009,Music of Punjab
1925,2015,Música sertaneja
1923,1996,Pop music
1931,2011,Opera
1901,1938,Easy listening
1960,1992,Punk rock
1960,1992,Hardcore punk
1960,1992,Alternative rock
1925,2008,Gospel music
1925,2014,Opera
1918,1988,Blues
1918,1988,Jazz
1901,1981,Country blues
1901,1981,Piedmont blues
1938,2010,Field recording
1911,1994,Musical film
1911,1994,Musical theatre
1928,1955,Cajun music
1920,1998,Jazz
1940,1990,Country music
1988,2008,Indian classical music
1988,2008,Playback singer
1919,1962,Jazz
1916,2008,Classical music
1945,2001,Music of Lebanon
1978,2011,Rock music
1954,2005,Hard rock
1862,1940,Classical music
1940,2009,Folk music
1945,1997,Rock music
1747,1804,Classical music
1960,1992,New wave music
1960,1992,Punk rock
1960,1992,Jazz
1938,2005,Folk music
1938,2005,Pop music
1938,2005,Rock music
1941,2007,Jazz
1941,2007,Classical music
1919,2013,Carnatic music
1976,2008,Hip hop music
1980,2009,Pop music
1980,2009,Celtic music
1979,2006,Norteño (music)
1979,2006,Corrido
1979,2006,Banda (music)
1959,1993,Chicago blues
1959,1993,Electric blues
1952,2000,Blues
1952,2000,Folk music
1952,2000,Progressive rock
1952,2000,Country rock
1952,2000,Hard rock
1952,2000,Folk rock
1952,2000,Pop rock
1952,2000,Jazz
1930,2007,Folk music
1930,2007,Music of Brazil
1953,2001,Country music
1953,2001,Pop music
1953,2001,Rock music
1925,2010,Jazz
1963,2014,Alternative rock
1963,2014,Post-punk
1976,2006,Pop music
1976,2006,Jazz
1933,1993,Rhythm and blues
1906,1994,Cajun music
1920,1983,Hindustani classical music
1939,2014,Folk music
1939,2014,Swing music
1939,2014,Ballad
1939,2014,Easy listening
1917,1961,Jazz
1938,2014,Country music
1923,2011,Classical music
1936,2009,Bluegrass music
1906,1984,Jazz
1916,2000,Big band
1916,2000,Traditional pop music
1916,2000,Swing music
1916,2000,Jazz
1939,2005,Music of Puerto Rico
1940,1991,Jazz
1940,1991,Contemporary classical music
1921,1984,Pop music
1921,1984,Zarzuela
1926,2011,Classical music
1911,1994,Folk music
1911,1994,Opera
1911,1994,Easy listening
1911,1994,Military band
1911,1994,Romantic music
1911,1994,Middle of the road (music)
1911,1994,Russian traditional music
1919,2012,Classical music
1924,2002,Film score
1895,1962,Hindustani classical music
1937,2003,Reggae
1963,2010,Hard rock
1963,2010,Glam metal
1940,2012,Rock music
1939,2009,Disco
1939,2009,Funk
1939,2009,Dance music
1935,2013,Pop music
1935,2013,Rock music
1890,1932,Classic female blues
1890,1932,Jazz
1872,1931,Hindustani classical music
1922,2005,Hindustani classical music
1885,1964,Hindustani classical music
1928,2011,Classical music
1929,2015-06-25,Ghazal
1908,1995,Martial music
1930,1989,Jazz
1958,2015,New wave music
1958,2015,Punk rock
1958,2015,Rock music
1958,2015,Art rock
1958,2015,Pop rock
1958,2015,Electronic music
1958,2015,Experimental music
1952,1991,Rock music
1926,2006,Swing music
1926,2006,Vocal jazz
1943,2003,Jazz fusion
1943,2003,Jazz
1923,2012,Hard bop
1923,2012,Jazz
1951,2008,Folk music
1951,2008,Pop music
1951,2008,Rock music
1951,2008,Sung poetry
1930,1999,Jazz
1951,2013,Anatolian rock
1952,2014,Rock music
1895,1980,Jazz
1932,2012,Samba
1932,2012,Bossa nova
1932,2012,Space age pop
1932,2012,Jazz
1932,2012,Easy listening
1932,2012,Samba_jazz
1929,2013,Bebop
1929,2013,Big band
1928,2006,Free jazz
1928,2006,Avant-garde jazz
1928,2006,Post-bop
1928,2006,Liturgical music
1945,2010,Rock and roll
1945,2010,Gospel music
1945,2010,Música popular brasileira
1928,2012,Detroit blues
